match_id,date,kickoff_uk,stage,group,home_team,away_team,city,country,status
1,2026-06-11,20:00,Group,A,Mexico,South Africa,Mexico City,Mexico,Scheduled
2,2026-06-12,03:00,Group,A,South Korea,Czech Republic,Zapopan,Mexico,Scheduled
3,2026-06-12,20:00,Group,B,Canada,Bosnia & Herzegovina,Toronto,Canada,Scheduled
4,2026-06-13,02:00,Group,D,United States,Paraguay,Los Angeles,USA,Scheduled
5,2026-06-13,20:00,Group,B,Qatar,Switzerland,Santa Clara,USA,Scheduled
6,2026-06-13,23:00,Group,C,Brazil,Morocco,New Jersey,USA,Scheduled
7,2026-06-14,02:00,Group,C,Haiti,Scotland,Foxborough,USA,Scheduled
8,2026-06-14,05:00,Group,D,Australia,Turkey,Vancouver,Canada,Scheduled
9,2026-06-14,18:00,Group,E,Germany,Curacao,Houston,USA,Scheduled
10,2026-06-14,21:00,Group,F,Netherlands,Japan,Arlington,USA,Scheduled
11,2026-06-15,00:00,Group,E,Ivory Coast,Ecuador,Philadelphia,USA,Scheduled
12,2026-06-15,03:00,Group,F,Sweden,Tunisia,Guadalupe,Mexico,Scheduled
13,2026-06-15,17:00,Group,H,Spain,Cape Verde,Atlanta,USA,Scheduled
14,2026-06-15,20:00,Group,G,Belgium,Egypt,Seattle,USA,Scheduled
15,2026-06-15,23:00,Group,H,Saudi Arabia,Uruguay,Miami,USA,Scheduled
16,2026-06-16,02:00,Group,G,Iran,New Zealand,Los Angeles,USA,Scheduled
17,2026-06-16,20:00,Group,I,France,Senegal,New Jersey,USA,Scheduled
18,2026-06-16,23:00,Group,I,Iraq,Norway,Foxborough,USA,Scheduled
19,2026-06-17,02:00,Group,J,Argentina,Algeria,Kansas City,USA,Scheduled
20,2026-06-17,05:00,Group,J,Austria,Jordan,Santa Clara,USA,Scheduled
21,2026-06-17,18:00,Group,K,Portugal,DR Congo,Houston,USA,Scheduled
22,2026-06-17,21:00,Group,L,England,Croatia,Arlington,USA,Scheduled
23,2026-06-18,00:00,Group,L,Ghana,Panama,Toronto,Canada,Scheduled
24,2026-06-18,03:00,Group,K,Uzbekistan,Colombia,Mexico City,Mexico,Scheduled
25,2026-06-18,17:00,Group,A,Czech Republic,South Africa,Atlanta,USA,Scheduled
26,2026-06-18,20:00,Group,B,Switzerland,Bosnia & Herzegovina,Los Angeles,USA,Scheduled
27,2026-06-18,23:00,Group,B,Canada,Qatar,Vancouver,Canada,Scheduled
28,2026-06-19,02:00,Group,A,Mexico,South Korea,Zapopan,Mexico,Scheduled
29,2026-06-19,20:00,Group,D,United States,Australia,Seattle,USA,Scheduled
30,2026-06-19,23:00,Group,C,Scotland,Morocco,Foxborough,USA,Scheduled
31,2026-06-20,01:30,Group,C,Brazil,Haiti,Philadelphia,USA,Scheduled
32,2026-06-20,04:00,Group,D,Turkey,Paraguay,Santa Clara,USA,Scheduled
33,2026-06-20,18:00,Group,F,Netherlands,Sweden,Houston,USA,Scheduled
34,2026-06-20,21:00,Group,E,Germany,Ivory Coast,Toronto,Canada,Scheduled
35,2026-06-21,01:00,Group,E,Ecuador,Curacao,Kansas City,USA,Scheduled
36,2026-06-21,05:00,Group,F,Tunisia,Japan,Guadalupe,Mexico,Scheduled
37,2026-06-21,17:00,Group,H,Spain,Saudi Arabia,Atlanta,USA,Scheduled
38,2026-06-21,20:00,Group,G,Belgium,Iran,Los Angeles,USA,Scheduled
39,2026-06-21,23:00,Group,H,Uruguay,Cape Verde,Miami,USA,Scheduled
